dim,seed,true_val,NSE_diff,NSE_grad,Langevin,HMC,CF,NCV,Epochs,n_samples
10,23,0.0,0.8265036940574646,-0.8632013201713562,4.0010386,6.0162625,1.166812777519226,-3.36692214012146,2000,300
10,169,0.0,0.1532569229602813,-1.7344167232513428,6.036293,2.6593573,-0.1926071941852569,-2.588717222213745,2000,300
10,13,0.0,-0.908039391040802,1.0832098722457886,3.2965589,5.674391,-0.0952173247933387,-1.1593067646026611,2000,300
30,13,0.0,0.4892934262752533,1.7199711799621582,25.327316,20.365013,0.6665509939193726,2.244812488555908,4000,300
20,23,0.0,-3.4011569023132324,-1.9985641241073608,10.512306,12.992996,0.3805146813392639,-0.1252445578575134,3000,300
2,13,0.0,0.3140680491924286,0.0210200566798448,0.6378821,0.27383667,0.4098144471645355,0.5377980470657349,1000,300
3,42,0.0,1.777472734451294,-1.4435524940490725,0.18226105,0.8071906,4.04145097732544,-1.1418880224227903,1000,300
5,13,0.0,0.0437028370797634,0.1394107788801193,1.3072728,1.8142922,-0.3293499648571014,-1.3226927518844604,1000,300
2,169,0.0,-0.0642014294862747,0.0197139363735914,0.075442925,-0.0065085897,0.1291005462408065,-0.4423344433307647,1000,300
1,13,0.0,0.0152557315304875,-0.0379285179078578,-0.032752976,0.15301359,0.0344441533088684,-0.2986355125904083,1000,300
30,7,0.0,-1.843320369720459,5.4134840965271,24.011938,20.277891,0.0614628568291664,-1.705418586730957,4000,300
5,7,0.0,0.6540102958679199,-0.0013927746331319,1.0731697,0.8439605,-0.1735774576663971,1.3672810792922974,1000,300
5,23,0.0,1.9769015312194824,-0.9183269739151,0.8181504,2.4239974,2.5940043926239014,-0.6905337572097778,1000,300
20,169,0.0,0.7010700106620789,5.23092794418335,8.786568,16.922039,0.5243683457374573,-4.769472122192383,3000,300
30,23,0.0,-1.0470184087753296,-1.5730489492416382,22.990011,18.173971,1.8954492807388303,-2.18667984008789,4000,300
10,42,0.0,-0.38112273812294,1.4783484935760498,1.7014588,0.11308045,-0.327480137348175,0.3688951134681701,2000,300
3,169,0.0,0.4669725596904754,-2.681403875350952,-0.12021467,1.3655205,-4.055082321166992,0.3031683564186096,1000,300
20,42,0.0,1.4845365285873413,-2.555790662765503,11.274213,14.975757,0.7590616345405579,0.2496917247772216,3000,300
3,7,0.0,0.321989893913269,-0.0017168141203001,0.15072943,-0.1480082,2.1582953929901123,-0.2437160760164261,1000,300
2,42,0.0,0.1922138929367065,-0.3795353174209595,-0.3340933,-0.20071246,-0.3687781393527984,0.3925739228725433,1000,300
3,13,0.0,1.9534220695495603,-0.0777095705270767,-0.17494163,0.10145953,1.2094900608062744,0.6137500405311584,1000,300
3,23,0.0,2.450817823410034,-0.0478741899132728,-0.22457889,0.8120237,1.5751750469207764,-0.0840132161974906,1000,300
5,42,0.0,2.1964752674102783,-3.133924961090088,2.3997416,0.6949526,2.943328857421875,-0.3024815320968628,1000,300
1,7,0.0,0.0115253580734133,0.0309312008321285,-0.11166362,-0.10391439,-0.0077012586407363,-0.054986797273159,1000,300
20,13,0.0,0.2206682711839676,-1.1454041004180908,15.292899,20.921312,-0.2307263165712356,-2.3303587436676025,3000,300
1,23,0.0,0.1357889324426651,0.0909216105937957,0.15270172,-0.16992605,0.0635995864868164,0.0806421563029289,1000,300
1,169,0.0,0.0229305904358625,0.0955763831734657,0.16959526,-0.085269235,-0.2472474724054336,-0.2861823141574859,1000,300
2,23,0.0,-1.048695087432861,-0.3090601563453674,-0.13230969,-0.20706478,0.7779632210731506,0.8174310326576233,1000,300
5,169,0.0,0.1309871524572372,-0.380302220582962,0.19305047,1.7674181,-1.825149178504944,-2.603947162628174,1000,300
10,7,0.0,-1.3091758489608765,0.115997776389122,4.88735,1.6004037,-0.3952126801013946,-2.0598621368408203,2000,300
30,42,0.0,-0.800413191318512,0.9212347865104676,24.057203,27.402746,-0.2070517390966415,2.9711477756500244,4000,300
20,7,0.0,-0.9384999871253968,-0.6432715058326721,19.923725,13.687369,1.2711145877838137,1.519963264465332,3000,300
2,7,0.0,-0.8101193308830261,-0.4687198996543884,0.13689686,-0.52055126,0.3071023523807525,-0.7450152039527893,1000,300
1,42,0.0,-7.842064223950729e-05,0.0123947523534297,-0.08384167,-0.20809051,-0.0554523728787899,0.0513282902538776,1000,300
30,169,0.0,-0.1854572892189026,0.4733518064022064,20.377161,32.520557,1.5642788410186768,3.66463303565979,4000,300
