dim,seed,true_val,NSE_diff,NSE_grad,Langevin,HMC,CF,NCV
1,13,14.0,13.94886875152588,13.999011039733888,14.64956,14.634475,14.104452133178713,14.028594017028809
1,17,14.0,13.859335899353027,13.962879180908203,14.629233,14.56786,13.90912914276123,13.997673034667969
1,23,14.0,13.986956596374512,14.00154972076416,13.821384,12.288005,13.92924690246582,14.011563301086426
1,42,14.0,13.98951816558838,14.028470039367676,13.781313,11.921251,13.996634483337402,13.995485305786133
1,169,14.0,13.991154670715332,13.987643241882324,14.790065,13.394846,13.979077339172363,13.997210502624512
2,13,28.0,27.9746036529541,28.029258728027344,28.85196,29.171333,27.94470977783203,27.93591690063477
2,17,28.0,28.309547424316406,28.017240524291992,28.062193,28.78829,27.966663360595703,27.931249618530277
2,23,28.0,28.042409896850582,27.91952133178711,27.067188,27.702345,27.95923614501953,27.97016906738281
2,42,28.0,27.44429016113281,27.9976806640625,28.859388,27.778837,28.013301849365234,27.703876495361328
2,169,28.0,28.04518318176269,28.00323867797852,28.538252,27.692007,27.967283248901367,27.940818786621094
3,13,42.0,41.91839599609375,41.60786437988281,42.80959,44.058704,42.24634552001953,41.89590072631836
3,17,42.0,42.03592300415039,42.11325073242188,41.494602,41.24451,43.94136047363281,41.41807174682617
3,23,42.0,40.65756607055664,41.92092514038086,42.46867,42.20146,42.78610229492188,41.81044006347656
3,42,42.0,41.87545776367188,42.06679534912109,43.561283,41.705883,43.522743225097656,41.77306365966797
3,169,42.0,42.26374816894531,41.79111862182617,42.02789,42.10504,43.93390655517578,41.52507400512695
5,13,70.0,68.89586639404297,63.05847930908203,70.34905,70.267944,150.29319763183594,68.5903549194336
5,17,70.0,70.30915832519531,69.81684875488281,70.6586,71.46167,149.77511596679688,68.75255584716797
5,23,70.0,70.046875,73.93019104003906,70.42325,71.961975,148.14291381835938,68.91702270507812
5,42,70.0,69.96449279785156,70.34069061279297,71.31247,69.34386,144.73300170898438,69.12763977050781
5,169,70.0,70.76344299316406,73.66387939453125,69.39676,69.61126,149.9810028076172,68.72838592529297
10,13,140.0,144.96778869628906,142.4628448486328,140.68753,138.73009,316.3370666503906,132.73985290527344
10,17,140.0,142.0929412841797,144.08840942382812,140.46387,143.38718,318.392333984375,132.015380859375
10,23,140.0,143.06234741210938,134.0318603515625,140.9595,141.55429,312.6364440917969,133.1155548095703
10,42,140.0,142.6634521484375,143.95733642578125,141.26782,137.63304,315.7471923828125,134.1651611328125
10,169,140.0,142.05276489257812,142.9195556640625,140.92258,142.78752,314.7269897460937,134.47023010253906
15,13,210.0,212.57400512695312,211.0724639892578,211.24796,208.4398,485.7078857421875,196.278076171875
15,17,210.0,213.4620056152344,218.81814575195312,211.44028,211.86401,480.0950622558594,195.9296722412109
15,23,210.0,213.6677703857422,209.6969757080078,210.7529,209.563,482.10296630859375,192.50070190429688
15,42,210.0,215.22299194335935,211.5879364013672,212.21872,205.1984,482.8515625,192.97886657714844
15,169,210.0,213.06597900390625,213.3289794921875,211.15288,211.3674,475.365966796875,194.7174224853516
30,13,420.0,413.86041259765625,418.3673400878906,424.4564,418.1311,979.2183227539062,374.9531555175781
30,17,420.0,416.3019104003906,417.901611328125,421.86328,423.59338,990.5321655273438,408.4417419433594
30,23,420.0,416.9754028320313,418.9977722167969,421.18814,421.9872,980.90087890625,404.4260864257813
30,42,420.0,409.3501281738281,420.0771179199219,421.94183,422.78577,980.6328125,401.57904052734375
30,169,420.0,413.3735046386719,414.9038696289063,421.759,419.4115,984.5889892578124,400.6617126464844
