,used_mean,dim,seed,true_val,NSE_diff,NSE_grad,CF_on,NCV_on,Epochs,n_samples
0,1.0,5.0,52.8,70.0,69.10881958007812,69.86212921142578,49.03631591796875,30.57543487548828,1500.0,500.0
1,2.0,5.0,52.8,70.0,69.92398529052734,69.9662368774414,58.61375503540039,45.75349731445313,1500.0,500.0
2,3.0,5.0,52.8,70.0,69.95132751464844,69.87776031494141,66.73102111816407,69.84959869384765,1500.0,500.0
3,4.0,5.0,52.8,70.0,69.50055847167968,69.78990936279297,81.45353393554687,104.13080291748047,1500.0,500.0
4,5.0,5.0,52.8,70.0,63.59584503173828,61.29710845947265,112.51737365722656,145.24947204589844,1500.0,500.0
5,6.0,5.0,52.8,70.0,61.557691955566405,54.05482406616211,161.85584411621093,199.78648071289064,1500.0,500.0
6,7.0,5.0,52.8,70.0,69.02994079589844,60.546765899658205,164.30658569335938,259.0776611328125,1500.0,500.0
7,8.0,5.0,52.8,70.0,68.97156448364258,65.7093894958496,238.80682983398438,342.8288513183594,1500.0,500.0
8,9.0,5.0,52.8,70.0,71.73135070800781,74.9015625,332.0855773925781,427.6339538574219,1500.0,500.0
9,10.0,5.0,52.8,70.0,81.49380340576172,83.10062561035156,442.9600830078125,527.576171875,1500.0,500.0
